Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,71281781,18154740,6500000
Home on the Range,50026353,76482461,,110000000
Hannibal Rising,27669725,80583311,23365803,50000000
The Hangover,277322503,465132119,165916727,35000000
Hanging Up,36037909,51867723,,40000000
The Hoax,7164995,7164995,,25000000
Holes,67383924,72383924,,20000000
The Holiday,63280000,205190324,71449071,85000000
Hollow Man,73209340,191200000,,90000000
Holy Girl,304124,1261792,,1400000
Home Fries,10513979,10513979,,15000000
Honey,30272254,62192232,,18000000
The Honeymooners,12834849,13174426,,27000000
Hoot,8117637,8224998,11095119,15000000
Hope Floats,60110313,81529000,,30000000
Horton Hears a Who,154529439,297133947,73524948,85000000
Hostel: Part II,17544812,33606409,16230816,7500000
Hostage,34636443,77636443,,75000000
Hostel,47326473,80578934,23835218,4800000
Hot Rod,13938332,14334401,24152720,25000000
The Hours,41675994,108775994,,25000000
Life as a House,15652637,23889158,,18000000
Bringing Down the House,132675402,164675402,,20000000
House of Wax,32064800,70064800,,35000000
How to Deal,14108518,14108518,,16000000
How High,31155435,31260435,,12000000
Def Jam's How To Be a Player,14010363,14010363,,12000000
Harry Potter and the Chamber of Secrets,261987880,878987880,,100000000
Harry Potter and the Prisoner of Azkaban,249538952,795538952,,130000000
Harry Potter and the Goblet of Fire,290013036,896013036,215701005,150000000
Harry Potter and the Order of the Phoenix,292004738,938468864,220867077,150000000
Harry Potter and the Half-Blood Prince,301959197,937499905,103574938,250000000
Harry Potter and the Sorcerer's Stone,317557891,976457891,,125000000
Happy Feet,198000317,385000317,203263968,85000000
Hercules,99112101,250700000,,70000000
Hardball,40222729,44102389,,21000000
Hard Rain,19870567,19870567,,70000000
The Horse Whisperer,75383563,75383563,,60000000
The Heart of Me,196067,196067,,7000000
Casa de Areia,539285,1178175,,3750000
Sorority Row,11965282,26735797,1350584,12500000
Hart's War,19076815,33076815,,70000000
The Hitchhiker's Guide to the Galaxy,51019112,104019112,,45000000
High Tension,3681066,5208449,,2850000
Hot Fuzz,23618786,79197493,33391776,16000000
Human Traffic,104257,5422740,,3300000
How to Train Your Dragon,217581231,491581231,,165000000
I Heart Huckabees,12784713,14584713,,22000000
Hulk,132177234,245360480,,137000000
The Incredible Hulk,134806913,263349257,58503066,137500000
The Hunchback of Notre Dame,100138851,325500000,,100000000
The Hunted,34234008,45016494,,55000000
Hurricane Streets,334041,367582,,500000
The Hurt Locker,14700000,44468574,31304710,15000000
Hustle & Flow,22202809,23563727,,2800000
Starsky & Hutch,88200225,170200225,,60000000
Hollywood Ending,4839383,14839383,,16000000
Hollywood Homicide,30207785,51107785,,75000000
Whatever it Takes,8735529,8735529,,15000000
Ice Age: The Meltdown,195330621,651899282,131919814,75000000
Ice Age: Dawn of the Dinosaurs,196573705,886685941,87544387,90000000
Ice Age,176387405,383257136,,65000000
Ice Princess,24381334,25732334,,25000000
The Ice Storm,8038061,16011975,,18000000
I Come with the Rain,0,627422,,18000000
Identity,52131264,90231264,,28000000
An Ideal Husband,18542974,18542974,,10700000
Idlewild,12669914,12669914,3120029,15000000
Igby Goes Down,4777465,4777465,,9000000
Igor,19528188,26608350,12361783,30000000
I Got the Hook-Up!,10317779,10317779,,3500000
Idle Hands,4023741,4023741,,15000000
Imaginary Heroes,228524,290875,,10000000
I Still Know What You Did Last Summer,40020622,40020622,,24000000
I Know What You Did Last Summer,72250091,125250091,,17000000
"I Love You, Beth Cooper",14800725,16382538,5475072,18000000
The Illusionist,39868642,84276175,38200717,16500000
But I'm a Cheerleader,2205627,2595216,,1200000
The Imaginarium of Doctor Parnassus,7689458,58692979,5387124,30000000
Imagine Me & You,672243,972243,,7900000
Imagine That,16123323,16123323,,55000000
Impostor,6114237,6114237,,40000000
Inception,285630280,753830280,,160000000
In the Cut,4717455,23693646,,12000000
In Too Deep,14026509,14026509,,7000000
IndigÃnes,320700,6877936,,18900000
Indiana Jones and the Kingdom of the Crystal Skull,317023851,786558145,109654917,185000000
In Dreams,12017369,12017369,,30000000
Infamous,1151330,2613717,,13000000
The Informant,33316821,41771168,6212437,22000000
The Informers,315000,315000,,18000000
Inkheart,17303424,58051454,8342886,60000000
In & Out,63826569,83226569,,35000000
I Now Pronounce You Chuck and Larry,119725280,185708462,69334335,85000000
Inside Man,88634237,184634237,37712869,50000000
The Insider,28965197,60265197,,68000000
Insomnia,67263182,113622499,,46000000
Inspector Gadget,97387965,97387965,,75000000
Instinct,34105207,34105207,,55000000
The Invention of Lying,18451251,32679264,4548709,18500000
The Invasion,15074191,40147042,4845943,80000000
Ira and Abby,221096,221096,,3500000
"I, Robot",144801023,348601023,,105000000
Iron Man 2,312128345,622128345,,170000000
Iron Man,318604126,582604126,169251757,186000000
The Iron Giant,23159305,31333917,,50000000
Obsluhoval jsem anglickÃho krÂ·le,617228,7174984,,4900000
The Island,35818913,163018913,,120000000
Isn't She Great,2954405,2954405,,36000000
I Spy,33561137,33561137,,70000000
The Italian Job,106126012,175826012,,60000000
I Think I Love My Wife,12559771,13205411,13566229,14000000
Jack Frost,34645374,34645374,,50000000
Jackie Brown,39673162,72673162,,12000000
The Jackal,54956941,159356941,,60000000
The Jacket,6301131,15452978,,28500000
Jakob the Liar,4956401,4956401,,15000000
Jarhead,62647540,96947540,52209103,72000000
Jawbreaker,3076820,3076820,,3000000
The World is Not Enough,126930660,361730660,,135000000
Die Another Day,160942139,431942139,,142000000
Casino Royale,167365000,596365000,79681613,102000000
Quantum of Solace,169368427,576368427,44912115,230000000
Jennifer's Body,16204793,32832166,4998385,16000000
Jackass: Number Two,72778712,83578712,49050925,11000000
Jackass: The Movie,64282312,75466905,,5000000
Journey to the Center of the Earth,101704370,240904370,26253886,45000000
Joe Dirt,27087695,30987695,,16000000
The Curse of the Jade Scorpion,7496522,18496522,,26000000
Jeepers Creepers,37904175,55026845,,10000000
Johnny English,28013509,160323929,,45000000
Jeepers Creepers II,35623801,35623801,,25000000
The Assassination of Jesse James by the Coward Robert Ford,3909149,15001776,9871881,30000000
Johnson Family Vacation,31203964,31462753,,12000000
Jersey Girl,25266129,37066129,,35000000
The Jimmy Show,703,703,,1000000
Jindabyne,399879,2862544,,10800000
Jackpot,44452,44452,,400000
Just Like Heaven,48318130,100687083,37588463,58000000
Just My Luck,17326650,38326650,11051609,28000000
The Messenger: The Story of Joan of Arc,14271297,14271297,,50000000
The Jungle Book 2,47901582,135703599,,20000000
Joe Somebody,22770864,24515990,,38000000
Jonah Hex,10547117,10547117,,47000000
John Q,71026631,102226631,,36000000
Jonah: A VeggieTales Movie,25571351,25606175,,14000000
The Joneses,1475746,1475746,,10000000
Josie and the Pussycats,14252830,14252830,,22000000
Joy Ride,21973182,21973182,,23000000
Jerry Maguire,153952592,274000000,,50000000
Jay and Silent Bob Strike Back,30059386,33762400,,22000000
Jesus' Son,1282084,1687548,,2500000
Being Julia,7739049,11039049,,18000000
Julie & Julia,94125426,126646119,40846498,40000000
Jumper,80172128,222117068,33679094,82500000
Junebug,2678010,2678010,,1000000
Juno,143495265,230327671,57612374,7000000
Jurassic Park 3,181166115,365900000,,93000000
Just Looking,39852,39852,,3000000
Just Married,56127162,56127162,,19000000
Juwanna Man,13571817,13771817,,15600000
Freddy vs. Jason,82622655,114326122,,25000000
K-19: The Widowmaker,35168966,65716126,,90000000
Kate and Leopold,47095453,70937778,,48000000
Kama Sutra,4109095,4109095,,3000000
Kangaroo Jack,66723216,90723216,,60000000
Kick-Ass,48071303,76252166,18666874,28000000
The Original Kings of Comedy,38168022,38236338,,3000000
Kiss of the Dragon,36833473,36833473,,25000000
Kung Fu Hustle,17104669,101004669,,20000000
The Karate Kid,176591618,350591618,,40000000
The Kentucky Fried Movie,15000000,20000000,,600000
Kicking and Screaming,52842724,55842724,,45000000
Kill Bill: Volume 2,66207920,150907920,,55000000
Kill Bill: Volume 1,70098138,180098138,,55000000
Kingdom Come,23247539,23393939,,7000000
Kingdom of Heaven,47398413,211398413,,110000000
Kinsey,10214647,13000959,,11000000
Kissing Jessica Stein,7025722,8915268,,1500000
Kiss the Girls,60527873,60527873,,27000000
King Kong,218080025,550517357,140752353,207000000
Knocked Up,148761765,218994109,117601397,27500000
Knight and Day,76373029,228937227,,117000000
The Kingdom,47467250,86509602,34065220,72500000
Black Knight,33422806,33422806,,35000000
Knockaround Guys,11660180,12419700,,15000000
Knowing,79957634,187858642,23450931,50000000
Knock Off,10319915,10319915,,35000000
K-PAX,50315140,50315140,,48000000
Christmas with the Kranks,73701902,96501902,,50000000
King's Ransom,4008527,4049527,,25000000
"Kiss Kiss, Bang Bang",4235837,13105837,6863163,15000000
A Knight's Tale,56083966,56083966,,41000000
The Kite Runner,15800078,73222245,6563936,20000000
Kundun,5686694,5686694,,28000000
Kung Pow: Enter the Fist,16033556,16033556,,10000000
L.A. Confidential,64604977,110604977,,35000000
Law Abiding Citizen,73357727,113190972,20038881,53000000
Ladder 49,74541707,102332848,,60000000
The Ladykillers,39692139,77692139,,35000000
Lady in the Water,42285169,72785169,12440849,75000000
The Lake House,52330111,114830111,39758509,40000000
Lakeview Terrace,39263506,44263506,21455006,20000000
The Ladies Man,13592872,13719474,,11000000
Land of the Lost,49438370,69548641,18953806,100000000
Changing Lanes,66790248,66790248,,45000000
Lars and the Real Girl,5956480,10553442,2560922,12500000
L'auberge espagnole,3895664,3895664,,5900000
Laws of Attraction,17848322,29948322,,32000000
Little Black Book,20422207,21758371,,30000000
Layer Cake,2339957,11850214,,6500000
Larry the Cable Guy: Health Inspector,15680099,15680099,13180936,17000000
Little Children,5463019,14763019,3657245,14000000
Save the Last Dance,91038276,131638276,,13000000
George A. Romero's Land of the Dead,20700082,45900082,,15000000
Left Behind,4221341,4221341,,18500000
Legion,40122938,64622938,16715657,26000000
I am Legend,256393010,585055701,129742540,150000000
Leatherheads,31373938,40830862,8871266,58000000
Life Before Her Eyes,303439,303439,,12000000
Letters from Iwo Jima,13756082,68756082,13625847,13000000
"Life, or Something Like It",14448589,14448589,,40000000
Last Holiday,38399961,43343247,29881643,45000000
The Hurricane,50699241,73956241,,38000000
Liar Liar,181410615,302710615,,45000000
Equilibrium,1190018,5345869,,20000000
Chasing Liberty,12189514,12291975,,23000000
The Libertine,4835065,9448623,2836487,22000000
L.I.E.,1138836,1138836,,700000
The Life Aquatic with Steve Zissou,24006726,34806726,,50000000
The Life of David Gale,19694635,28920188,,50000000
Life,64062587,73521587,,75000000
Like Mike,51432423,62432423,,30000000
Lilo & Stitch,145771527,245800000,,80000000
Limbo,2016687,2016687,,8300000
Light It Up,5871603,5871603,,13000000
Living Out Loud,12905901,12905901,,12000000
The Lizzie McGuire Movie,42734455,55534455,,15000000
Letters to Juliet,53032453,68332453,,30000000
Lucky Break,54606,54606,,6000000
The Last King of Scotland,17606684,48363516,16836991,6000000
Lolita,1147784,1147784,,55000000
Love Lisa,211724,211724,,1000000
Little Miss Sunshine,59891098,100523181,55501748,8000000
In the Land of Women,11052958,14140402,9876018,10500000
Lions for Lambs,14998070,63211088,9203604,35000000
London,12667,12667,,2000000
How to Lose a Guy in 10 Days,105807520,177079973,,50000000
Loser,15464026,18250106,,20000000
The Losers,23591432,23591432,7360965,25000000
The Lost City,2484186,3650302,,9600000
Lost In Space,69117629,136117629,,80000000
Lost and Found,6552255,6552255,,14000000
Lottery Ticket,23602581,23602581,,17000000
Love and Basketball,27441122,27709625,,15000000
Love Jones,12554569,12554569,,10000000
The Love Letter,8322608,8322608,,15000000
Lovely and Amazing,4210379,4695781,,250000
The Lord of the Rings: The Two Towers,341784377,926284377,,94000000
The Lord of the Rings: The Return of the King,377027325,1133027325,,94000000
The Lord of the Rings: The Fellowship of the Ring,314776170,868621686,,109000000
Lord of War,24149632,62142629,,42000000
"Lock, Stock and Two Smoking Barrels",3897569,25297569,,1350000
The Last Shot,463730,463730,,40000000
Lonesome Jim,154187,154187,,500000
The Last Legion,5932060,21439015,,67000000
The Last Samurai,111110575,456810575,,120000000
The Last Sin Eater,388390,388390,,2200000
The Last Song,62950384,75850384,20035017,20000000
Love Stinks,2793776,2793776,,4000000
Lost in Translation,44585453,106454000,,4000000
Last Orders,2326407,2326407,,12000000
Lost Souls,16779636,31320293,,28000000
The Last Station,6616974,6616974,,18000000
The Lost World: Jurassic Park,229086679,786686679,,75000000
License to Wed,43799818,70799818,22782913,35000000
Looney Tunes: Back in Action,20950820,54540662,,80000000
Letters to God,2848587,2848587,3346596,3000000
Lethal Weapon 4,130444603,285400000,,140000000
Little Man,58636047,101636047,32799301,64000000
The Lucky Ones,266967,266967,,14000000
Lucky You,5755286,6521829,853973,55000000
Luminarias,428535,428535,,1000000
Se jie,4604982,65696051,,15000000
Luther,5781086,29465190,,35000000
Love Actually,59472278,247967903,,45000000
The Little Vampire,13555988,13555988,,22000000
The Lovely Bones,44028238,94702568,8474087,65000000
Herbie: Fully Loaded,66010682,144110682,,50000000
For Love of the Game,35188640,46112640,,50000000
Leaves of Grass,20987,20987,,9000000
Love Happens,22965110,30206355,7174988,18000000
Just Visiting,4777007,16172200,,40000000
Das Leben der Anderen,11284657,75284657,4225830,2000000
Love Ranch,134904,134904,,25000000
La MÃme,10299782,83499782,,15500000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,748806957,352582053,180000000
The Longest Yard,158119460,190320568,,82000000
Mad City,10561038,10561038,,50000000
Made,5308707,5476060,,5000000
Madagascar: Escape 2 Africa,180010950,599516844,108725804,150000000
Madagascar,193595521,532680671,,75000000
Mad Hot Ballroom,8117961,9079042,,500000
Madison,517262,517262,,14000000
Jane Austen's Mafia,19843795,30143795,,10000000
Paul Blart: Mall Cop,146336178,180449670,53105030,26000000
A Man Apart,26500000,44114828,,36000000
Man on Fire,77906816,118706816,,60000000
Man of the House,19699706,22099706,,50000000
Man on the Moon,34580635,47407635,,52000000
The Man Who Knew Too Little,13801755,13801755,,20000000
Marci X,1646664,1646664,,20000000
Married Life,1506998,1506998,,12000000
The Marine,18844784,22165608,26786370,15000000
Son of the Mask,17018422,59918422,,100000000
The Matador,12578537,17290120,5309636,10000000
The Matrix,171479930,460279930,,65000000
Max Keeble's Big Move,17292381,17292381,,12000000
May,145540,145540,,1750000
Murderball,1531154,1722277,,350000
Vicky Cristina Barcelona,23213577,77213577,8276490,16000000
My Big Fat Greek Wedding,241438208,368744044,,5000000
My Best Friend's Girl,19219250,34787111,18449619,20000000
Monkeybone,5409517,5409517,,75000000
Meet the Browns,41975388,41975388,18271961,20000000
My Bloody Valentine,51545952,98817028,20831900,14000000
Wu ji,669625,35869934,,30000000
McHale's Navy,4408420,4408420,,42000000
The Martian Child,7500310,9076823,7705880,27000000
The Manchurian Candidate,65948711,96148711,,80000000
Mickey Blue Eyes,33864342,53864342,,40000000
Michael Clayton,49033882,92987651,18802372,21500000
Master and Commander: The Far Side of the World,93926386,209486484,,135000000
Nanny McPhee and the Big Bang,27776620,90676620,,35000000
Nanny McPhee,47279279,122540909,42041450,25000000
Mean Creek,603951,967749,,500000
The Medallion,22108977,22108977,,41000000
Meet Dave,11803254,50648806,,60000000
Million Dollar Baby,100492203,216763646,,30000000
Madea Goes To Jail,90508336,90508336,27100919,17500000
Made of Honor,46012734,105508112,14330761,40000000
Mean Girls,86047227,128947227,,18000000
Mean Machine,92723,92723,,4500000
Meet the Deedles,4356126,4356126,,24000000
"Me, Myself & Irene",90570999,149270999,,51000000
Memoirs of a Geisha,57010853,161510853,32837435,85000000
Men in Black,250690539,587790539,,90000000
Men of Honor,48814909,82339483,,32000000
Memento,25544867,39665950,,5000000
Mercury Rising,32983332,32983332,,60000000
Mercy Streets,173599,173599,,600000
Joyeux NoÃl,1054361,1054361,,22000000
Message in a Bottle,52880016,52880016,,30000000
Meet Joe Black,44650003,44650003,,85000000
Maria Full of Grace,6529624,9892434,,3200000
Megiddo: Omega Code 2,6047691,6047691,,22000000
Magnolia,22450975,48446802,,37000000
The Men Who Stare at Goats,32428195,67348218,8155901,24000000
Marilyn Hotchkiss' Ballroom Dancing and Charm School,349132,399114,,2500000
Men in Black 2,190418803,441818803,,140000000
Micmacs,1237269,11734498,,42000000
The House of Mirth,3041803,3041803,,10000000
Miss Congeniality 2: Armed and Fabulous,48478006,101382396,,60000000
Mission: Impossible 2,215409889,546209889,,120000000
Mission: Impossible III,133501348,397501348,49824367,150000000
Miss Congeniality,106807667,212100000,,45000000
The Missing,26900336,38253433,,65000000
Mighty Joe Young,50632037,50632037,,80000000
The Majestic,27796042,37306334,,72000000
Martin Lawrence Live: RunTelDat,19184820,19184820,,3000000
Malibu's Most Wanted,34308901,34499204,,15000000
Must Love Dogs,43894863,58894863,,35000000
My Life Without Me,432360,9476113,,2500000
Mission to Mars,60874615,106000000,,90000000
MirrorMask,864959,864959,,4000000
Mumford,4559569,4559569,,28700000
Mindhunters,4476235,16566235,,27000000
Captain Corelli's Mandolin,25528495,62097495,,57000000
Manderlay,74205,543306,,14200000
Midnight in the Garden of Good and Evil,25078937,25078937,,35000000
The Man in the Iron Mask,56968169,56968169,,35000000
Monster-in-Law,82931301,155931301,,45000000
Moonlight Mile,6830957,6830957,,21000000
Mona Lisa Smile,63803100,121598309,,65000000
Monster's Ball,31273922,44873922,,4000000
MoliÃre,635733,791154,,21600000
Molly,17396,17396,,21000000
Monster House,73661010,140161010,71719512,75000000
Mononoke-hime,2374107,150350000,,20000000
Monsoon Wedding,13876974,13876974,,1200000
Monster,34469210,58003694,,5000000
"Monsters, Inc.",255870172,526864330,,115000000
Mondays in the Sun,146402,146402,,4000000
Money Talks,41076865,41076865,,25000000
Moon,5010163,6934829,1978111,5000000
Welcome to Mooseport,14469428,14469428,,26000000
Morvern Callar,267194,267194,,6000000
The Mothman Prophecies,35228696,54639865,,42000000
Moulin Rouge,57386369,179213196,,53000000
Me and Orson Welles,1190003,1190003,,25000000
Meet the Fockers,279167575,516567575,,60000000
Meet the Parents,166225040,301500000,,55000000
Mr. 3000,21800302,21827296,,30000000
The Miracle,64378093,64445708,,28000000
Minority Report,132024714,358824714,,102000000
The Fantastic Mr. Fox,20999103,46467231,7571489,40000000
Mr. Nice Guy,12716953,31716953,,6000000
Mrs. Henderson Presents,11036366,14466366,5796061,20000000
Mortal Kombat: Annihilation,35927406,51327406,,30000000
Marvin's Room,12803305,12803305,,23000000
Miracle at St. Anna,7916887,9110458,9178061,45000000
Mouse Hunt,61894591,61894591,,38000000
Masked and Anonymous,533344,533344,,7500000
Miss Potter,3005605,35025861,7821056,30000000
The Missing Person,17896,17896,,2000000
Meet the Spartans,38233676,84646831,12248893,30000000
"Mystery, Alaska",8891623,8891623,,28000000
Match Point,23089926,87989926,7210408,15000000
Mother and Child,1105266,1105266,,7000000
A Mighty Heart,9176787,18932117,5455645,15000000
Metropolis (2002),673414,673414,,15000000
The Matrix Reloaded,281553689,738576929,,127000000
The Matrix Revolutions,139259759,424259759,,110000000
The Mudge Boy,62544,62544,,800000
Mulan,120620254,303500000,,90000000
Mulholland Drive,7219578,11919578,,15000000
The Mummy,155385488,416385488,,80000000
The Mummy Returns,202007640,433007640,,98000000
The Mummy: Tomb of the Dragon Emperor,102491776,397912118,43147886,175000000
Munich,47379090,130279090,33113440,75000000
Muppets From Space,16304786,16304786,,24000000
Murder by Numbers,31874869,56643267,,50000000
The Muse,11614954,11614954,,15000000
Night at the Museum,250863268,574480841,153389976,110000000
The Musketeer,27053815,27053815,,40000000
Music and Lyrics,50572589,145556146,21145518,40000000
The Merchant of Venice,3765585,18765585,,30000000
Miami Vice,63478838,163818556,37652030,135000000
Monsters vs. Aliens,198351526,381687380,83851943,175000000
A Mighty Wind,17583468,18552708,,6000000
The Mexican,66808615,147808615,,40000000
My Best Friend's Wedding,126813153,287200000,,46000000
"Dude, Where's My Car?",46729374,73180297,,14000000
My Dog Skip,34099640,35512760,,7000000
My Date With Drew,181041,181041,,1100
Me and You and Everyone We Know,3885134,5409058,,2000000
My Favorite Martian,36850101,36850101,,60000000
My Fellow Americans,22331846,22331846,,21500000
My Sister's Keeper,49200230,89053995,21467223,27500000
My Summer of Love,1000915,3800915,,1700000
The Mystery Men,29762011,29762011,,68000000
Mystic River,90135191,156835191,,30000000
Nacho Libre,80197993,99197993,46582125,32000000
Narc,10465659,10465659,,7500000
The Chronicles of Narnia: Prince Caspian,141621490,419490286,77773230,225000000
National Treasure,173005002,347405002,,100000000
The Nativity Story,37629831,46432264,26142500,35000000
Never Back Down,24850922,39319801,18692319,21000000
Into the Blue,18782227,41982227,,50000000
Shinjuku Incident,0,0,,25000000
No Country for Old Men,74273505,162103209,45877844,25000000
The Incredibles,261441092,632882184,,92000000
The Negotiator,44705766,49105766,,50000000
A Nightmare on Elm Street,63075011,105175011,,35000000
Not Easily Broken,10572742,10572742,13828911,5000000
The New Guy,28972187,28972187,,13000000
The Newton Boys,10341093,10341093,,27000000
The Next Best Thing,14983572,24355762,,25000000
Northfork,1420578,1445140,,1900000
In Good Company,45489752,63489752,,26000000
Notting Hill,116089678,363728226,,42000000
Little Nicky,39442871,58270391,,80000000
Nicholas Nickleby,1562800,1562800,,10000000
Nim's Island,48006762,94081683,18322434,37000000
Ninja Assassin,38122883,57422883,14085314,50000000
The Ninth Gate,18653746,58394308,,38000000
Never Let Me Go,186830,186830,,15000000
Lucky Numbers,10014234,10014234,,65000000
Night at the Museum: Battle of the Smithsonian,177243721,413054631,48547729,150000000
Nick and Norah's Infinite Playlist,31487293,31487293,10327750,10000000
Notorious,36842118,44473591,21503929,19000000
No End In Sight,1433319,1433319,,2000000
Nomad,79123,79123,,40000000
No Man's Land,1067481,2684207,,1000000
No Reservations,43107979,92107979,27029295,28000000
The Notebook,81001787,102276787,,30000000
November,191862,191862,,250000
Novocaine,2025238,2522928,,6000000
Nowhere in Africa,6173485,6173485,,6500000
Napoleon Dynamite,44540956,46140956,,400000
North Country,18324242,23624242,14349786,30000000
The Namesake,13610521,20180109,9364773,8500000
Inside Deep Throat,691880,691880,,2000000
Intolerable Cruelty,35327628,121327628,,60000000
The Interpreter,72708161,163954076,,90000000
The Night Listener,7836393,10547755,8927227,4000000
The International,25450527,53850527,7276738,50000000
The Number 23,35193167,76593167,27576238,32000000
Nurse Betty,25170054,27732366,,24000000
Jimmy Neutron: Boy Genius,80936232,102992536,,25000000
Nutty Professor II: The Klumps,123307945,161600000,,84000000
Never Again,307631,307631,,500000
Finding Neverland,51676606,118676606,,25000000
Into the Wild,18354356,53813837,15272435,20000000
The New World,12712093,26184400,8200002,30000000
Nochnoy dozor,1502188,33923550,7476421,4200000
New York Minute,14018364,21215882,,40000000
The Object of my Affection,29145924,29145924,,15000000
Orange County,41059716,43308707,,18000000
Ocean's Eleven,183417150,450728529,,110000000
Ocean's Twelve,125531634,363531634,,85000000
Ocean's Thirteen,117144465,311744465,48258805,85000000
Oceans,19422319,72965951,,80000000
Office Space,10827813,12827813,,10000000
White Oleander,16357770,21657770,,16000000
The Omen,54607383,119607383,10468933,25000000
Any Given Sunday,75530832,100230832,,60000000
Once,9445857,18997174,,150000
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,144601,206351,,1000000
One Hour Photo,31597131,52223306,,12000000
One True Thing,23337196,26708196,,30000000
Ong-Bak 2,102458,7583050,1238181,15000000
On the Line,4356743,4356743,,10000000
One Night with the King,13395961,13395961,20554010,20000000
Opal Dreams,14443,14443,,9000000
Open Season,85105259,189901703,96622855,85000000
Open Water,30500882,52100882,,500000
Open Range,58328680,68293719,,26000000
The Order,7659747,11559747,,35000000
Orgazmo,582024,627287,,1000000
Original Sin,16521410,16521410,,26000000
Osama,1127331,1971479,,500000
Oscar and Lucinda,1612957,1612957,,12500000
Old School,75155000,86325829,,24000000
Osmosis Jones,13596911,13596911,,70000000
American Outlaws,13264986,13264986,,35000000
Oliver Twist,2070920,26670920,,65000000
Out Cold,13906394,13906394,,11000000
Outlander,166003,1250617,1757108,50000000
Out of Sight,37562568,37562568,,48000000
Out of Time,41083108,55489826,,50000000
The Out-of-Towners,28544120,28544120,,40000000
Owning Mahowny,1011054,1011054,,10000000
The Pacifier,113006880,198006880,,56000000
El Laberinto del Fauno,37634615,83234615,40776265,16000000
The Passion of the Christ,370782930,611899420,618454,25000000
Patch Adams,135041968,202200000,,50000000
Payback,81526121,161626121,,50000000
Paycheck,53789313,89350576,,60000000
Max Payne,40687294,85761789,25346362,35000000
The Princess Diaries 2: Royal Engagement,95149435,122071435,,45000000
The Princess Diaries,108244774,165334774,,30000000
The Peacemaker,41263140,62967368,,50000000
Peter Pan,48417850,95255485,,100000000
People I Know,121972,121972,,20000000
Perrier's Bounty,828,828,,6600000
A Perfect Getaway,15515460,20613298,3994342,14000000
Phat Girlz,7061128,7271305,18090044,3000000
Poolhall Junkies,563711,563711,,4000000
The Phantom of the Opera,51225796,158225796,,55000000
Phone Booth,46566212,97837138,,11000000
The Pianist,32519322,120000000,,35000000
The Pink Panther,82226474,158926474,23182695,80000000
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,,125000000
Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,320830925,225000000
Pirates of the Caribbean: At World's End,309420425,960996492,296060575,300000000
The Chronicles of Riddick,57712751,107212751,,120000000
Pitch Black,39235088,53182088,,23000000
Play it to the Bone,8427204,8427204,,24000000
Screwed,6982680,6982680,,12000000
Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,30795712,95000000
"Paris, je t'aime",4857374,4857374,,13000000
Princess Kaiulani,883454,883454,,9000000
Lake Placid,31770413,31770413,,27000000
The Back-up Plan,37490007,77090007,7571152,35000000
The Pledge,19719930,29406132,,45000000
Proof of Life,32598931,62761005,,65000000
Pollock,8596914,10557291,,6000000
Planet of the Apes,180011740,362211740,,100000000
Please Give,4028339,4028339,,3000000
Planet 51,42194060,108005745,15341764,50000000
The Adventures of Pluto Nash,4411102,7094995,,100000000
The Players Club,23047939,23047939,,5000000
Paranormal Activity,107918810,193770453,14051496,15000
The Pineapple Express,87341380,100941380,45217362,26000000
Pinocchio,3681811,31681811,,45000000
Pandaemonium,0,0,,15000000
Pandorum,10330853,17033431,4018696,40000000
The Punisher,33664370,54664370,,33000000
Pokemon 2000,43746923,133946923,,30000000
Pokemon 3: The Movie,17052128,68452128,,3000000
The Polar Express,181320597,305420597,,170000000
Along Came Polly,88073507,170360435,,42000000
Gake no ue no Ponyo,15090399,199090399,12626319,34000000
Pootie Tang,3293258,3293258,,3500000
Poseidon,60674817,181674817,19732418,160000000
Possession,10103647,14805812,,25000000
Peter Pan: Return to Neverland,48430258,109862682,,20000000
Practical Magic,46850558,68336997,,60000000
The Devil Wears Prada,124740460,326551094,95856827,35000000
The Boat That Rocked,8017467,37472651,1374953,50000000
Paparazzi,15712072,16612072,,20000000
Primary Colors,39017984,39017984,,65000000
Precious (Based on the Novel Push by Sapphire),47566524,63471431,20130576,10000000
Pride and Glory,15740721,43440721,11495577,30000000
Pride and Prejudice,38372662,120918508,53281347,28000000
The Road to Perdition,104054514,181054514,,80000000
Predators,51920690,124549380,,40000000
Prefontaine,590817,590817,,8000000
Perfume: The Story of a Murderer,2223293,132180323,7529604,63700000
The Prince & Me,28165882,29356757,,30000000
The Perfect Man,16535005,19535005,,10000000
The Pursuit of Happyness,162586036,306086036,90857430,55000000
Primer,424760,565846,,7000
Pearl Harbor,198539855,449239855,,151500000
Premonition,47852604,81461343,33241945,20000000
The Prince of Egypt,101413188,218600000,,60000000
The Producers: The Movie Musical,19398532,32952995,5338452,45000000
Prom Night,43869350,57109687,8497205,18000000
Proof,7535331,8284331,9239421,20000000
Panic Room,95308367,196308367,,48000000
The Proposal,163958031,317358031,83691948,40000000
Prince of Persia: Sands of Time,90755643,335055643,,200000000
