Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
Shortbus,4-Oct-06,Not Rated,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,66,6.7,14276
She's All That,29-Jan-99,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,38,5.4,28498
She's the Man,17-Mar-06,PG-13,,Paramount Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,Andy Fickman,44,6.4,26513
Sherrybaby,8-Sep-06,R,,IFC Films,Original Screenplay,Drama,Contemporary Fiction,,74,6.7,6372
Shallow Hal,9-Nov-01,PG-13,113,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,50,6,35878
Silent Hill,21-Apr-06,R,,Sony Pictures,Based on Game,Horror,Contemporary Fiction,Christophe Gans,29,6.5,65485
Shutter Island,19-Feb-10,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67,8,105706
Shakespeare in Love,11-Dec-98,R,122,Miramax,Original Screenplay,Romantic Comedy,Historical Fiction,John Madden,93,7.4,77911
In the Shadow of the Moon,7-Sep-07,PG,100,ThinkFilm,Based on Real Life Events,Documentary,Factual,,94,8,2974
Sherlock Holmes,25-Dec-09,PG-13,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69,7.5,91555
She's Out of My League,12-Mar-10,,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,57,6.7,17449
Shooter,23-Mar-07,R,125,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48,7.2,149
Shrek,18-May-01,PG,90,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,8,163855
Shrek 2,19-May-04,PG,92,Dreamworks SKG,Based on Book/Short Story,Adventure,Kids Fiction,Andrew Adamson,89,7.5,95658
Shrek the Third,18-May-07,PG,92,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,41,6.1,59778
Shrek Forever After,21-May-10,PG,93,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,,6.7,12193
Shark Tale,1-Oct-04,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Rob Letterman,35,5.9,40019
Shattered Glass,31-Oct-03,PG-13,,Lionsgate,Based on Real Life Events,Drama,Dramatization,,91,7.4,14575
Stealing Harvard,13-Sep-02,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,8,4.7,6899
Showtime,15-Mar-02,PG-13,95,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Dey,24,5.3,22128
Sicko,22-Jun-07,PG-13,,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,93,8.2,40886
The Siege,6-Nov-98,R,116,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44,,
Signs,2-Aug-02,PG-13,106,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,74,6.9,111561
Simon Birch,11-Sep-98,PG,110,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44,6.7,11371
A Simple Wish,11-Jul-97,PG,,Universal,Original Screenplay,Comedy,Fantasy,Michael Ritchie,27,4.9,1545
The Simpsons Movie,27-Jul-07,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656
Sinbad: Legend of the Seven Seas,2-Jul-03,PG,86,Dreamworks SKG,Traditional/Legend/Fairytale,Adventure,Kids Fiction,Tim Johnson,,6.6,7895
Sin City,1-Apr-05,R,126,Miramax/Dimension,Based on Comic/Graphic Novel,Action,Fantasy,Robert Rodriguez,77,8.3,255814
The Singing Detective,24-Oct-03,R,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,38,5.6,4441
The Sixth Sense,6-Aug-99,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,M. Night Shyamalan,85,8.2,238745
Super Size Me,7-May-04,PG-13,,IDP Distribution,Based on Real Life Events,Documentary,Factual,Morgan Spurlock,,7.6,33805
The Skeleton Key,12-Aug-05,PG-13,,Universal,Original Screenplay,Horror,Contemporary Fiction,Iain Softley,38,6.5,29810
The Skulls,31-Mar-00,PG-13,107,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8,5.3,14903
Sky High,29-Jul-05,PG,102,Walt Disney Pictures,Original Screenplay,Adventure,Super Hero,,73,6.6,20923
Slackers,1-Feb-02,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11,4.9,7934
Ready to Rumble,7-Apr-00,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brian Robbins,25,,
Soldier,23-Oct-98,R,,Warner Bros.,Original Screenplay,Action,Science Fiction,Paul Anderson,,,
Sleepy Hollow,19-Nov-99,R,105,Paramount Pictures,Based on Book/Short Story,Horror,Historical Fiction,Tim Burton,68,7.5,107511
Lucky Number Slevin,7-Apr-06,R,,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Paul McGuigan,51,7.8,91145
The Secret Life of Bees,17-Oct-08,PG-13,110,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,57,7,7077
Hannibal,9-Feb-01,R,131,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Ridley Scott,39,6.4,74862
Southland Tales,14-Nov-07,R,,Samuel Goldwyn Films,Original Screenplay,Musical,Contemporary Fiction,Richard Kelly,,5.6,20172
Slow Burn,13-Apr-07,R,93,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,12,5.9,2318
Sleepover,9-Jul-04,PG,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,15,4.6,4774
The Bridge of San Luis Rey,10-Jun-05,PG,,Fine Line,Based on Book/Short Story,Drama,,,4,5,1913
Slither,31-Mar-06,R,,Universal,Original Screenplay,Horror,Science Fiction,,85,6.6,26101
Slumdog Millionaire,12-Nov-08,R,116,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94,8.3,176325
Slums of Beverly Hills,14-Aug-98,R,,Fox Searchlight,Based on Real Life Events,Comedy,Dramatization,Tamara Jenkins,79,6.4,5821
Small Soldiers,10-Jul-98,PG-13,110,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46,5.9,20571
Mr. And Mrs. Smith,10-Jun-05,PG-13,112,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Doug Liman,,4.7,189
Smokin' Aces,26-Jan-07,R,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28,6.6,57313
Someone Like You,30-Mar-01,PG-13,97,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Tony Goldwyn,41,5.8,10073
Death to Smoochy,29-Mar-02,R,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,Danny De Vito,42,6.2,22379
Simply Irresistible,5-Feb-99,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,,14,4.8,6927
Summer Catch,24-Aug-01,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,7,4.6,6848
There's Something About Mary,15-Jul-98,R,119,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83,7.2,96443
Snake Eyes,7-Aug-98,R,99,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,41,5.8,29321
Snakes on a Plane,18-Aug-06,R,105,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68,6,65841
Lemony Snicket's A Series of Unfortunate Events,17-Dec-04,PG,108,Paramount Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brad Silberling,71,6.9,51614
House of Sand and Fog,19-Dec-03,R,,Dreamworks SKG,Based on Book/Short Story,Drama,Contemporary Fiction,,75,7.8,29777
A Sound of Thunder,2-Sep-05,PG-13,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Peter Hyams,6,4.1,9915
See No Evil,19-May-06,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,9,5,10035
The Shipping News,25-Dec-01,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Lasse Hallstrom,55,6.7,17338
Shanghai Knights,7-Feb-03,PG-13,114,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66,6.2,24893
Shanghai Noon,26-May-00,PG-13,110,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Tom Dey,78,6.6,32446
Snow Dogs,18-Jan-02,PG,99,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Brian Levant,23,4.9,7561
Snow Falling on Cedars,24-Dec-99,PG-13,,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,,40,6.7,8444
Sunshine,20-Jul-07,R,108,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74,7.3,74535
Snatch,8-Dec-00,R,103,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Guy Ritchie,,8.2,173919
Snow Day,11-Feb-00,PG,89,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26,4.4,4611
Sorority Boys,22-Mar-02,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,13,5.1,7392
Solaris,27-Nov-02,PG-13,,20th Century Fox,Remake,Drama,Science Fiction,Steven Soderbergh,65,6.2,33151
Solitary Man,21-May-10,R,,Anchor Bay Entertainment,,Drama,,,,6.7,1936
The Soloist,24-Apr-09,PG-13,117,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Joe Wright,,6.7,14257
Songcatcher,15-Jun-01,PG-13,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,6.9,1997
Sonny,27-Dec-02,R,,,,,,,23,5.7,1941
Standard Operating Procedure,25-Apr-08,R,,Sony Pictures Classics,Based on Real Life Events,Documentary,Factual,,80,7.5,1640
The Sorcerer's Apprentice,14-Jul-10,PG,110,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,,42,6.4,9108
Soul Food,26-Sep-97,R,114,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,80,6.4,2636
Soul Plane,28-May-04,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,19,3.7,9143
"South Park: Bigger, Longer & Uncut",30-Jun-99,R,80,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Trey Parker,80,,
Space Jam,15-Nov-96,PG,87,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,Joe Pytka,36,5.6,29293
Spanglish,17-Dec-04,PG-13,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,James L. Brooks,52,6.7,30660
Spawn,31-Jul-97,PG-13,97,New Line,Based on Comic/Graphic Novel,Action,Contemporary Fiction,,20,4.8,21366
Superbad,17-Aug-07,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8,134212
SpongeBob SquarePants,19-Nov-04,PG,90,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,,
Space Chimps,18-Jul-08,G,,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,,36,4.5,4324
Space Cowboys,4-Aug-00,PG-13,130,Warner Bros.,Original Screenplay,Adventure,Science Fiction,Clint Eastwood,79,6.3,29983
Spider,28-Feb-03,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,,7.8,560
Speed Racer,9-May-08,PG,,Warner Bros.,Based on TV,Action,Science Fiction,Andy Wachowski,38,6.3,32672
The Spiderwick Chronicles,14-Feb-08,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79,6.8,18715
Speedway Junky,31-Aug-01,R,,,,,,,,3.7,1205
Speed II: Cruise Control,13-Jun-97,PG-13,125,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,,3.4,30896
Sphere,13-Feb-98,PG-13,132,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Barry Levinson,12,5.6,31461
Spiceworld,23-Jan-98,PG,92,Sony Pictures,Musical Group Movie,Comedy,Contemporary Fiction,,,2.9,18010
Spider-Man 2,30-Jun-04,PG-13,127,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93,7.7,141940
Spider-Man 3,4-May-07,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4,141513
Spider-Man,3-May-02,PG-13,121,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,89,7.4,167524
Scott Pilgrim vs. The World,13-Aug-10,PG-13,112,Universal,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Edgar Wright,81,8.1,17461
See Spot Run,2-Mar-01,PG,97,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,24,4.9,3673
Superman Returns,28-Jun-06,PG-13,157,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76,6.6,102751
Supernova,14-Jan-00,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Francis Ford Coppola,10,6.8,127
Spirited Away,20-Sep-02,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,Hayao Miyazaki,,,
Spun,14-Mar-03,R,,,,,,,,6.6,16011
Spy Game,21-Nov-01,R,126,Universal,Original Screenplay,Action,Contemporary Fiction,Tony Scott,65,6.9,44850
Spy Kids 2: The Island of Lost Dreams,7-Aug-02,PG,100,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,75,,
Spy Kids 3-D: Game Over,25-Jul-03,PG,84,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,,4.1,12352
Spy Kids,30-Mar-01,PG,88,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,93,5.7,23479
The Square,9-Apr-10,R,,Apparition,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,6.8,1303
The Squid and the Whale,5-Oct-05,R,,IDP/Goldwyn/Roadside,Based on Real Life Events,Drama,Dramatization,Noah Baumbach,93,7.6,23521
Serendipity,5-Oct-01,PG-13,91,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peter Chelsom,58,6.6,32014
Saint Ralph,5-Aug-05,PG-13,,Samuel Goldwyn Films,Original Screenplay,Comedy,Historical Fiction,,,7.5,3492
Shaolin Soccer,2-Apr-04,PG-13,,Miramax,Original Screenplay,Comedy,,Stephen Chow,91,,
Superstar,8-Oct-99,PG-13,82,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,33,6,103
Soul Survivors,7-Sep-01,PG-13,,Artisan,Original Screenplay,Horror,Contemporary Fiction,,4,3.6,5116
Spirit: Stallion of the Cimarron,24-May-02,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Kelly Asbury,,6.6,8622
Star Wars Ep. II: Attack of the Clones,16-May-02,PG,142,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
Star Wars Ep. III: Revenge of the Sith,19-May-05,PG-13,140,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
Starship Troopers,7-Nov-97,R,129,Sony Pictures,Based on Book/Short Story,Action,Science Fiction,Paul Verhoeven,60,7.1,83516
The Station Agent,3-Oct-03,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,,95,7.8,22274
Stay Alive,24-Mar-06,PG-13,91,Walt Disney Pictures,Original Screenplay,Horror,Contemporary Fiction,,9,4.5,13658
Small Time Crooks,19-May-00,PG,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,66,6.5,15636
Steel,15-Aug-97,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,,12,2.7,4409
How Stella Got Her Groove Back,14-Aug-98,R,124,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,49,5.1,3080
The Stepford Wives,11-Jun-04,PG-13,93,Paramount Pictures,Remake,Comedy,Contemporary Fiction,Frank Oz,26,5.1,26712
Stepmom,25-Dec-98,PG-13,127,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Chris Columbus,43,6.2,18505
Stomp the Yard,12-Jan-07,PG-13,113,Sony/Screen Gems,Original Screenplay,Drama,Contemporary Fiction,,26,4.3,13737
Stranger Than Fiction,10-Nov-06,PG-13,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72,7.8,74218
The Legend of Suriyothai,20-Jun-03,R,,,,,,,,,
Stick It,28-Apr-06,PG-13,103,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,31,5.9,9556
Stigmata,10-Sep-99,R,103,MGM,Original Screenplay,Horror,Contemporary Fiction,Rupert Wainwright,22,6,29411
A Stir of Echoes,10-Sep-99,R,110,Artisan,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,David Koepp,,7.1,26752
Street Kings,11-Apr-08,R,,Fox Searchlight,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,36,7,40291
Stuart Little,17-Dec-99,PG,92,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,65,5.8,23226
Stuart Little 2,19-Jul-02,PG,78,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Rob Minkoff,83,5.6,7534
Stealth,29-Jul-05,PG-13,,Sony Pictures,Original Screenplay,Action,Science Fiction,Rob Cohen,13,4.8,21664
Steamboy,18-Mar-05,PG-13,,Sony Pictures,Original Screenplay,Action,,,,,
The Statement,12-Dec-03,R,,Sony Pictures,,Thriller/Suspense,,Norman Jewison,23,6,2735
Stolen Summer,22-Mar-02,PG,,Miramax,,,,,35,6.4,1733
Stop-Loss,28-Mar-08,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Kimberly Peirce,,6.5,9268
The Perfect Storm,30-Jun-00,PG-13,130,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Wolfgang Petersen,47,6.2,55716
The Story of Us,15-Oct-99,R,74,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,28,5.6,10720
The Stepfather,16-Oct-09,PG-13,,Sony/Screen Gems,Remake,Thriller/Suspense,Contemporary Fiction,,11,5.3,6263
State of Play,17-Apr-09,PG-13,127,Universal,Based on TV,Thriller/Suspense,Contemporary Fiction,Kevin MacDonald,84,7.3,34067
The Sisterhood of the Traveling Pants 2,6-Aug-08,PG-13,111,Warner Bros.,Based on Book/Short Story,Adventure,Contemporary Fiction,,64,6.2,6557
Sisterhood of the Traveling Pants,1-Jun-05,PG,,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Ken Kwapis,,,
Step Up,11-Aug-06,PG-13,98,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Anne Fletcher,19,6.1,21691
The Straight Story,15-Oct-99,G,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,David Lynch,95,8,36265
Star Trek: First Contact,22-Nov-96,PG-13,111,Paramount Pictures,Based on TV,Adventure,Science Fiction,Jonathan Frakes,,7.6,45106
Star Trek: Insurrection,11-Dec-98,PG,100,Paramount Pictures,Based on TV,Adventure,Science Fiction,Jonathan Frakes,,6.4,26559
Star Trek: Nemesis,13-Dec-02,PG-13,117,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,6.4,28449
Alex Rider: Operation Stormbreaker,13-Oct-06,PG,,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,,,,
The Strangers,30-May-08,R,85,Focus Features,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,44,6,35078
Super Troopers,15-Feb-02,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jay Chandrasekhar,,6.8,29514
Strangers with Candy,28-Jun-06,R,,ThinkFilm,Based on TV,Comedy,Contemporary Fiction,,,5.9,4941
Star Wars Ep. I: The Phantom Menace,19-May-99,PG,133,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
Stuck On You,12-Dec-03,PG-13,118,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,60,5.9,23196
Step Up 2 the Streets,14-Feb-08,PG-13,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,25,5.6,20345
The Sum of All Fears,31-May-02,PG-13,124,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phil Alden Robinson,59,6.3,38586
Sunshine State,21-Jun-02,PG-13,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,80,6.8,2769
Supercross,17-Aug-05,PG-13,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,6,2.9,2514
Surf's Up,8-Jun-07,PG,86,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,,77,7,20974
Surrogates,25-Sep-09,PG-13,104,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Jonathan Mostow,39,6.3,36940
Summer of Sam,2-Jul-99,R,142,Walt Disney Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,50,6.5,18431
Savage Grace,28-May-08,Not Rated,,IFC Films,Based on Book/Short Story,Drama,Dramatization,,,5.7,3838
Saving Private Ryan,24-Jul-98,R,169,Dreamworks SKG,Original Screenplay,Drama,Historical Fiction,Steven Spielberg,91,8.5,270540
S.W.A.T.,8-Aug-03,PG-13,117,Sony Pictures,Based on TV,Action,Contemporary Fiction,,48,5.9,43260
Sideways,22-Oct-04,R,125,Fox Searchlight,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,97,7.8,69778
Shall We Dance?,15-Oct-04,PG-13,106,Miramax,Remake,Romantic Comedy,Contemporary Fiction,Peter Chelsom,,7.6,2192
Secret Window,12-Mar-04,PG-13,96,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Fantasy,David Koepp,46,6.5,53868
Swept Away,11-Oct-02,R,,Sony Pictures,Remake,Romantic Comedy,Contemporary Fiction,Guy Ritchie,5,3.4,7665
Swimming Pool,4-Jul-03,R,,Focus Features,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,84,6.8,19992
The Sidewalks of New York,21-Nov-01,R,,Paramount Vantage,Original Screenplay,Comedy,Contemporary Fiction,Edward Burns,,,
Swimfan,6-Sep-02,PG-13,86,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,15,4.6,9577
Sweet November,16-Feb-01,PG-13,120,Warner Bros.,Remake,Drama,Contemporary Fiction,,16,6,20891
Sydney White,21-Sep-07,PG-13,107,Universal,Traditional/Legend/Fairytale,Comedy,Contemporary Fiction,,37,6.2,9309
Switchback,31-Oct-97,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,,32,6.1,5141
Star Wars: The Clone Wars,15-Aug-08,PG,98,Warner Bros.,Original Screenplay,Adventure,Science Fiction,,19,5.4,17513
The Sweetest Thing,12-Apr-02,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Roger Kumble,25,4.7,23378
"Six Days, Seven Nights",12-Jun-98,PG-13,101,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ivan Reitman,37,4.7,48
Sex Drive,17-Oct-08,R,,Summit Entertainment,Based on Book/Short Story,Comedy,Contemporary Fiction,,46,6.8,26920
Sexy Beast,13-Jun-01,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,,,7.1,20916
Chinjeolhan geumjassi,5-May-06,Not Rated,,Tartan Films,Original Screenplay,Thriller/Suspense,,Chan-wook Park,,7.7,19341
"Synecdoche, New York",24-Oct-08,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,67,,
Syriana,23-Nov-05,R,126,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,72,7.1,53265
Suspect Zero,27-Aug-04,R,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,E. Elias Merhige,18,5.8,9804
Tadpole,19-Jul-02,PG-13,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,78,6.1,3800
Tailor of Panama,30-Mar-01,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John Boorman,,,
Taken,30-Jan-09,PG-13,,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Pierre Morel,,4.8,1125
Take the Lead,1-Apr-06,PG-13,,New Line,Based on Real Life Events,Drama,Dramatization,,44,6.5,10015
Talladega Nights: The Ballad of Ricky Bobby,4-Aug-06,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam McKay,72,6.4,50407
The Talented Mr. Ripley,25-Dec-99,R,139,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,82,7.2,63319
Tarnation,6-Oct-04,Not Rated,,WellSpring,Based on Real Life Events,Documentary,Factual,,,7.1,3847
Taxman,17-Sep-99,,,,,Comedy,,,,6.8,520
Thunderbirds,30-Jul-04,PG,,Universal,Based on TV,Adventure,Science Fiction,Jonathan Frakes,19,4,5397
The Best Man,22-Oct-99,R,120,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Malcolm D. Lee,71,6.1,2019
Book of Shadows: Blair Witch 2,27-Oct-00,R,90,Artisan,Original Screenplay,Horror,Contemporary Fiction,,,4,16122
The Cave,26-Aug-05,PG-13,,Sony/Screen Gems,Original Screenplay,Horror,Science Fiction,,12,4.8,13025
This Christmas,21-Nov-07,PG-13,118,Sony/Screen Gems,Original Screenplay,Drama,Contemporary Fiction,,55,5.4,3351
The Core,28-Mar-03,PG-13,133,Paramount Pictures,Original Screenplay,Action,Science Fiction,Jon Amiel,42,5.3,27375
The Thomas Crown Affair,6-Aug-99,R,111,MGM,Remake,Drama,Contemporary Fiction,John McTiernan,67,6.7,37692
The Damned United,9-Oct-09,R,97,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,Tom Hooper,94,7.5,7560
The Tale of Despereaux,19-Dec-08,G,93,Universal,Based on Book/Short Story,Adventure,Kids Fiction,Sam Fell,55,6.1,7460
Team America: World Police,15-Oct-04,R,98,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Trey Parker,,7.3,58763
Tea with Mussolini,14-May-99,PG,116,MGM,Based on Real Life Events,Drama,Dramatization,Franco Zeffirelli,67,6.7,5435
Tears of the Sun,7-Mar-03,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,34,6.4,34304
The Big Tease,28-Jan-00,R,,Warner Bros.,Original Screenplay,Comedy,,,,6.1,1610
Not Another Teen Movie,14-Dec-01,R,89,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,28,5.5,36678
Teeth,18-Jan-08,R,,Roadside Attractions,Original Screenplay,Comedy,Fantasy,,,5.5,18
Bridge to Terabithia,16-Feb-07,PG,95,Walt Disney Pictures,Based on Book/Short Story,Drama,Fantasy,,85,7.4,34482
Terminator 3: Rise of the Machines,1-Jul-03,R,109,Warner Bros.,Original Screenplay,Action,Science Fiction,Jonathan Mostow,,6.6,107667
Terminator Salvation: The Future Begins,21-May-09,PG-13,116,Warner Bros.,Original Screenplay,Action,Science Fiction,Joseph McGinty Nichol,,,
Transformers,3-Jul-07,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3,197131
Transformers: Revenge of the Fallen,24-Jun-09,PG-13,149,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,20,6,95786
